TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,Season,EFGD_D,EFG%,EFGD%,RK,Team,3PR,3PRD
,P12,33,21,105.4,96.4,0.7358,50.4,,19.7,17.5,29.9,24.4,34.7,27.0,48.1,47.2,36.6,33.1,67.3,-0.3,,,2022,48.1,,,,,,
,MWC,31,18,107.0,97.9,0.7357,49.1,,17.0,17.2,27.1,25.9,30.7,30.8,48.6,48.8,33.2,31.9,66.4,-3.8,,,2022,48.4,,,,,,
,B10,30,15,105.5,96.7,0.7322,49.0,,14.1,19.3,25.6,25.1,25.1,34.8,47.2,47.7,34.6,36.8,67.8,-3.9,,,2022,50.8,,,,,,
,A10,33,23,107.3,98.7,0.7233,50.5,,15.5,19.1,26.9,27.5,25.9,22.2,50.9,49.6,33.1,34.2,65.5,-0.5,,,2022,50.3,,,,,,
,Amer,28,15,103.9,95.5,0.7232,46.7,,18.7,20.1,32.3,28.3,31.7,30.4,46.7,47.2,31.2,31.6,67.1,-3.6,,,2022,47.3,,,,,,
,MAAC,33,25,106.9,98.6,0.7179,50.7,,17.9,19.0,31.8,29.8,37.3,33.8,51.2,47.2,33.2,30.2,69.4,-0.7,,,2022,46.6,,,,,,
,OVC,32,25,106.6,98.4,0.7163,55.7,,16.8,20.9,24.4,27.8,25.9,23.5,60.7,48.7,32.8,33.7,69.0,-0.2,,,2022,49.4,,,,,,
,WAC,29,23,104.1,96.1,0.7144,49.9,,19.2,18.6,34.8,28.4,31.0,33.0,48.3,45.1,34.8,26.9,65.6,-2.4,,,2022,43.5,,,,,,
,B10,31,14,104.0,96.4,0.7046,50.5,,18.6,13.8,28.6,24.1,21.8,26.2,49.9,45.6,34.2,35.2,61.9,-3.9,,,2022,48.3,,,,,,
,Amer,32,18,104.4,96.9,0.7035,46.9,,15.2,17.9,30.1,29.6,29.6,34.5,46.7,44.2,31.4,31.2,67.7,-4.6,,,2022,45.0,,,,,,
,CUSA,35,26,105.8,98.2,0.7004,51.4,,18.9,20.3,30.0,29.2,34.2,36.5,52.7,47.6,33.1,31.0,67.1,-3.2,,,2022,47.2,,,,,,
,Amer,30,18,106.3,98.7,0.7002,49.9,,19.1,20.7,30.8,30.8,28.5,29.8,47.9,50.0,35.0,31.2,67.5,-1.7,,,2022,48.7,,,,,,
,MAC,33,26,109.2,101.8,0.693,53.0,,14.7,15.3,30.4,27.4,28.0,22.9,53.1,47.6,35.2,31.2,68.9,-1.6,,,2022,47.2,,,,,,
,SEC,32,13,106.0,99.1,0.6857,49.6,,18.0,19.4,26.7,26.6,28.7,28.0,50.0,53.1,32.6,32.3,65.4,-7.1,,,2022,51.4,,,,,,
,CUSA,31,24,104.4,97.7,0.6842,51.9,,16.9,19.3,26.1,28.1,31.1,28.1,52.5,47.4,34.0,33.0,68.4,-2.6,,,2022,48.2,,,,,,
,MVC,30,17,102.8,96.1,0.6837,51.1,,19.9,18.2,31.9,23.5,27.3,30.2,51.1,46.1,34.1,32.2,67.3,-6.4,,,2022,46.9,,,,,,
,ACC,31,17,105.2,98.4,0.6833,49.0,,18.1,21.0,31.7,31.1,30.3,30.4,48.7,50.0,33.1,36.9,67.8,-1.6,,,2022,52.2,,,,,,
,SEC,30,18,100.1,94.2,0.6679,47.3,,21.4,21.5,33.6,32.1,29.2,41.6,47.4,46.9,31.3,32.0,70.6,-1.1,,,2022,47.3,,,,,,
,P12,32,17,104.4,98.4,0.6629,46.4,,16.7,22.1,29.3,35.6,34.7,30.1,46.2,49.8,31.2,33.5,69.6,-4.4,,,2022,49.9,,,,,,
,Amer,29,17,101.6,96.2,0.652,45.4,,18.5,17.2,32.7,29.3,39.7,31.7,44.7,46.3,31.1,29.4,66.3,-2.5,,,2022,45.5,,,,,,
,Ivy,28,23,111.5,105.9,0.6452,56.7,,14.5,15.5,24.8,23.5,21.3,21.7,55.9,51.6,38.4,33.6,66.9,-2.1,,,2022,51.3,,,,,,
,B10,30,13,106.1,100.8,0.6435,50.7,,14.0,15.8,17.7,27.5,23.6,23.3,48.0,51.6,36.8,33.7,65.1,-4.8,,,2022,51.2,,,,,,
,ACC,33,13,103.9,98.8,0.6422,47.8,,17.9,18.7,29.9,25.7,29.6,31.5,48.5,49.8,30.9,36.4,65.0,-8.3,,,2022,51.5,,,,,,
,CAA,30,21,109.1,103.8,0.6392,53.4,,14.7,20.4,23.3,26.9,21.7,26.3,55.6,52.1,33.8,38.3,68.9,-3.4,,,2022,54.4,,,,,,
,B10,32,10,106.5,101.4,0.6388,50.3,,17.1,18.3,20.6,31.4,33.3,29.4,51.8,51.2,32.0,34.7,71.4,-9.1,,,2022,51.5,,,,,,
,WAC,32,25,104.5,99.5,0.6379,48.4,,17.6,27.9,27.8,30.9,39.3,49.1,48.4,52.0,32.2,34.6,70.2,-4.1,,,2022,52.0,,,,,,
,P12,32,16,103.5,98.7,0.6337,49.8,,22.3,16.4,33.8,22.9,29.9,29.0,49.2,52.9,33.9,32.7,66.0,-3.2,,,2022,51.4,,,,,,
,WAC,30,20,101.5,96.8,0.6337,50.6,,22.1,15.6,32.0,24.5,38.1,28.3,48.7,46.6,36.8,29.0,65.8,-5.3,,,2022,45.4,,,,,,
,BE,31,14,102.3,97.6,0.6318,47.1,,18.2,17.1,27.1,27.4,30.2,30.2,48.9,51.9,29.7,31.1,63.8,-5.3,,,2022,49.9,,,,,,
,ACC,32,13,103.0,98.3,0.631,48.8,,18.0,16.3,27.3,24.9,25.1,30.0,50.5,49.1,30.9,34.9,67.3,-6.8,,,2022,50.3,,,,,,
,OVC,31,23,102.8,98.2,0.6277,52.4,,20.4,17.3,30.7,29.5,29.0,23.7,51.6,45.3,35.8,32.6,64.7,-3.9,,,2022,46.5,,,,,,
,ACC,32,11,109.2,104.5,0.625,47.9,,14.5,18.3,30.3,31.0,29.1,29.4,45.9,53.0,34.0,36.1,67.1,-9.0,,,2022,53.4,,,,,,
,A10,30,14,104.7,100.2,0.6244,53.0,,18.0,17.2,24.9,23.8,29.0,29.6,52.4,48.1,35.7,34.4,65.0,-8.1,,,2022,49.6,,,,,,
,ASun,30,22,104.6,100.2,0.6203,55.5,,18.0,17.1,22.2,22.8,28.4,31.4,54.0,46.3,38.1,34.2,65.0,-6.1,,,2022,48.3,,,,,,
,P12,31,11,106.6,102.2,0.6189,48.4,,18.1,15.2,29.3,29.2,30.0,28.6,47.3,49.4,33.5,32.9,66.4,-9.4,,,2022,49.4,,,,,,
,MWC,30,13,105.8,101.7,0.6118,50.6,,18.4,18.3,24.5,26.1,32.0,29.7,51.3,51.2,33.0,35.9,70.3,-7.0,,,2022,52.4,,,,,,
,CUSA,30,19,105.5,101.5,0.608,52.8,,17.6,19.9,25.1,30.4,31.3,16.5,52.1,48.6,35.9,35.6,68.7,-6.3,,,2022,50.7,,,,,,
,MVC,30,16,101.7,97.9,0.606,51.5,,18.1,18.7,23.2,23.3,29.1,27.6,50.6,50.2,35.1,32.4,62.1,-7.5,,,2022,49.7,,,,,,
,SC,30,19,105.3,101.4,0.6059,53.9,,17.7,19.7,26.9,22.2,28.2,28.6,55.5,53.3,34.8,36.2,64.2,-6.3,,,2022,53.8,,,,,,
,CAA,32,17,105.3,101.6,0.6015,50.3,,20.9,19.1,35.7,25.0,30.4,37.6,50.0,51.3,33.9,34.1,73.7,-7.5,,,2022,51.2,,,,,,
,SB,26,21,105.3,101.7,0.5987,51.0,,18.8,21.8,30.8,29.3,32.9,34.4,48.9,49.5,37.2,35.1,63.7,-2.3,,,2022,50.7,,,,,,
,MAC,32,23,102.4,99.1,0.5935,49.8,,18.5,19.5,30.8,26.4,32.6,36.4,50.5,50.1,32.5,31.7,65.7,-4.5,,,2022,49.0,,,,,,
,CUSA,31,19,104.5,101.2,0.5909,53.3,,19.6,19.5,31.1,26.0,28.8,32.1,53.6,48.4,35.3,36.9,67.1,-8.1,,,2022,50.8,,,,,,
,P12,32,12,100.0,97.2,0.5821,46.9,,17.1,14.7,25.5,23.4,25.3,31.5,47.2,48.1,30.8,30.9,64.1,-8.8,,,2022,47.5,,,,,,
,ACC,31,12,100.5,97.8,0.5792,49.6,,18.9,18.8,25.0,28.1,25.0,31.5,48.6,51.4,34.4,32.1,68.1,-8.3,,,2022,50.1,,,,,,
,A10,30,15,98.2,95.6,0.576,50.6,,20.8,19.3,28.6,27.6,36.1,32.7,50.5,44.5,33.8,32.6,67.2,-8.5,,,2022,46.3,,,,,,
,BW,26,17,104.3,101.7,0.5717,53.5,,19.3,19.5,28.4,27.2,37.2,30.4,55.0,48.2,33.4,32.0,65.5,-6.8,,,2022,48.1,,,,,,
,WAC,30,23,98.7,96.3,0.5711,48.3,,16.3,20.5,26.0,25.6,28.8,40.5,47.1,46.0,33.1,31.4,70.4,-3.6,,,2022,46.4,,,,,,
,CAA,28,15,103.9,101.5,0.5668,52.0,,16.4,16.2,25.6,26.1,25.4,26.1,52.0,50.6,34.7,33.4,66.2,-7.7,,,2022,50.4,,,,,,
,MAC,28,19,105.7,103.7,0.5529,51.6,,18.6,15.8,37.0,27.9,25.6,29.4,51.6,48.3,34.4,31.9,71.1,-5.4,,,2022,48.2,,,,,,
,BW,23,15,98.2,96.4,0.5515,47.6,,20.6,17.2,29.9,27.6,29.7,31.2,47.4,46.0,32.1,26.6,65.1,-4.8,,,2022,44.1,,,,,,
,A10,30,11,99.9,98.2,0.5504,49.7,,19.6,13.7,27.0,24.1,22.9,26.9,49.0,47.6,33.6,31.8,68.2,-11.0,,,2022,47.7,,,,,,
,MAC,34,25,102.6,100.8,0.5504,50.6,,15.4,20.4,27.1,26.0,31.5,28.0,50.8,51.9,33.7,31.2,67.4,-3.5,,,2022,50.0,,,,,,
,BSth,28,18,97.1,95.7,0.5408,49.9,,20.0,19.0,26.9,26.3,28.5,36.3,50.2,47.4,33.0,28.5,67.5,-7.7,,,2022,45.5,,,,,,
,ASun,27,21,100.5,99.1,0.5394,48.6,,18.6,16.4,33.6,23.4,30.5,30.8,47.2,49.9,34.5,29.3,61.4,-5.6,,,2022,47.2,,,,,,
,SEC,32,12,102.1,100.8,0.5369,47.1,,21.6,17.9,31.4,29.7,29.9,35.6,49.4,49.7,28.1,35.1,65.7,-7.0,,,2022,50.8,,,,,,
,SB,31,19,100.7,99.6,0.5314,48.4,,16.0,17.9,26.3,26.0,27.6,21.7,46.9,50.0,33.5,33.0,64.4,-7.0,,,2022,49.8,,,,,,
,MWC,30,13,105.4,104.3,0.5296,49.4,,16.1,18.0,24.0,29.1,32.8,35.6,48.1,53.5,34.4,32.9,71.2,-9.6,,,2022,52.0,,,,,,
,CUSA,32,20,100.8,99.8,0.5287,49.2,,16.7,20.5,22.6,29.5,27.8,37.2,47.4,50.0,34.7,33.2,66.5,-5.9,,,2022,49.9,,,,,,
,CAA,34,27,104.4,103.5,0.5246,48.1,,14.6,19.9,28.0,31.8,34.4,34.8,47.4,49.1,32.9,35.5,65.4,-3.6,,,2022,50.5,,,,,,
,NEC,26,21,101.2,100.4,0.5239,49.9,,18.0,22.3,33.5,27.5,32.1,39.3,53.0,50.4,28.5,29.7,66.5,-2.5,,,2022,48.1,,,,,,
,Amer,31,11,103.5,102.6,0.5231,49.6,,19.0,20.1,26.7,30.1,31.0,29.0,48.5,50.5,34.2,36.2,66.4,-10.6,,,2022,52.2,,,,,,
,SC,31,16,105.8,105.2,0.517,52.9,,18.3,15.8,24.5,26.5,29.3,28.5,52.9,53.2,35.3,34.9,64.9,-9.7,,,2022,52.8,,,,,,
,SB,29,19,101.1,100.6,0.5151,49.9,,20.3,17.3,32.7,28.7,31.1,25.5,48.3,47.8,35.1,30.0,66.6,-8.8,,,2022,46.5,,,,,,
,WCC,32,19,103.3,102.8,0.5142,50.2,,18.3,17.4,23.9,27.7,33.5,26.2,48.4,48.5,35.4,35.0,68.7,-6.6,,,2022,50.1,,,,,,
,SB,29,21,101.7,101.2,0.5142,52.0,,19.3,20.8,26.9,31.3,30.6,30.7,52.3,46.8,34.2,32.5,66.5,-6.3,,,2022,47.6,,,,,,
,Sum,31,23,101.6,101.1,0.5138,51.8,,17.0,12.7,24.8,23.1,33.4,25.5,51.1,47.0,35.3,32.5,66.2,-4.5,,,2022,47.6,,,,,,
,SC,30,15,107.6,107.1,0.5135,51.8,,17.0,16.6,30.6,31.1,21.7,26.1,51.1,54.7,35.1,34.2,65.5,-9.4,,,2022,53.1,,,,,,
,SC,29,21,104.1,103.9,0.5039,51.8,,19.3,17.8,30.1,29.0,28.9,32.0,53.4,52.6,33.1,34.4,69.2,-4.6,,,2022,52.1,,,,,,
,Amer,30,15,101.8,101.7,0.5027,47.1,,18.7,18.5,27.6,28.5,33.5,31.0,45.3,48.8,33.3,35.3,67.8,-6.4,,,2022,50.5,,,,,,
,Horz,29,20,104.0,104.2,0.4962,53.2,,19.6,21.8,33.9,31.9,36.1,34.2,55.3,50.0,32.6,32.3,67.6,-6.3,,,2022,49.4,,,,,,
,MAAC,34,21,101.3,101.7,0.4897,47.5,,17.3,17.8,29.4,27.9,36.9,33.6,46.3,46.6,33.1,32.3,66.3,-6.1,,,2022,47.3,,,,,,
,BE,31,6,104.2,104.6,0.4895,46.2,,18.8,18.0,32.3,29.9,29.0,27.6,43.3,52.4,34.2,36.9,70.1,-13.0,,,2022,53.6,,,,,,
,SC,29,16,109.5,110.0,0.4854,55.3,,16.9,14.0,22.7,29.6,26.3,25.3,54.4,50.2,37.4,34.7,68.7,-8.8,,,2022,51.1,,,,,,
,SB,29,16,101.1,101.7,0.4836,48.6,,22.0,18.4,33.6,27.6,35.5,35.5,47.0,46.2,34.3,32.2,69.6,-9.2,,,2022,46.9,,,,,,
,BW,26,17,100.3,101.0,0.4787,50.4,,19.7,15.9,29.0,25.1,32.5,31.7,49.5,47.2,34.6,30.9,65.1,-7.1,,,2022,46.9,,,,,,
,Horz,30,20,100.8,101.5,0.478,49.5,,19.9,21.1,36.0,31.0,26.6,25.0,48.3,50.0,34.1,32.4,64.0,-8.0,,,2022,49.5,,,,,,
,BSth,29,23,104.3,105.1,0.4779,56.4,,21.2,19.3,25.3,27.5,37.5,33.5,57.0,49.1,37.0,35.9,68.4,-3.2,,,2022,51.0,,,,,,
,Horz,30,20,102.5,103.3,0.4756,49.1,,18.0,20.5,30.7,33.4,34.0,21.5,52.5,52.9,29.7,31.0,67.7,-6.1,,,2022,50.2,,,,,,
,BSky,33,23,105.0,105.9,0.4736,52.6,,17.4,17.2,27.8,22.5,33.4,27.6,53.6,51.6,34.1,34.6,68.3,-6.5,,,2022,51.7,,,,,,
,A10,32,16,93.1,94.1,0.4704,45.7,,18.9,19.6,27.2,26.3,29.7,30.4,46.7,48.5,29.7,31.2,67.8,-8.4,,,2022,47.9,,,,,,
,Ivy,24,15,103.1,104.3,0.4658,53.5,,19.6,18.1,26.1,28.1,32.2,31.3,55.6,53.0,34.1,32.3,72.0,-6.3,,,2022,51.1,,,,,,
,Pat,31,21,94.2,95.6,0.4577,47.5,,19.9,20.4,33.8,24.8,30.8,31.7,47.0,45.7,32.3,33.2,64.8,-6.0,,,2022,47.3,,,,,,
,Sum,28,19,108.1,109.7,0.4576,53.9,,13.2,12.7,26.6,24.7,23.0,24.8,52.3,50.8,37.2,34.4,70.2,-6.8,,,2022,51.1,,,,,,
,ASun,32,22,104.7,106.4,0.4562,53.3,,18.9,15.8,29.9,27.4,29.1,24.0,53.8,50.5,35.1,33.7,70.1,-6.7,,,2022,50.5,,,,,,
,CUSA,31,17,104.7,106.4,0.4539,52.9,,17.2,16.9,22.7,25.6,28.0,26.5,53.6,51.7,34.5,36.2,65.4,-7.4,,,2022,52.6,,,,,,
,A10,32,15,110.9,112.8,0.4516,51.3,,16.6,18.0,29.3,29.7,32.8,29.3,48.0,54.7,37.1,37.4,69.1,-9.0,,,2022,55.2,,,,,,
,SEC,32,6,107.0,108.8,0.4513,50.2,,20.7,15.7,25.8,30.1,39.0,24.1,51.3,56.1,32.1,34.9,68.8,-13.7,,,2022,54.6,,,,,,
,BSky,31,21,101.3,103.2,0.4489,53.5,,16.3,20.2,20.0,24.9,37.8,26.9,54.5,49.2,34.6,38.1,69.6,-7.7,,,2022,52.3,,,,,,
,ACC,32,11,98.9,101.1,0.4379,46.7,,21.2,16.5,30.5,26.1,39.4,29.4,46.5,49.5,31.4,36.8,64.0,-8.9,,,2022,52.0,,,,,,
,WAC,28,14,99.3,101.6,0.4357,46.3,,18.2,24.7,27.0,34.0,33.7,35.6,46.3,54.7,30.9,32.9,63.2,-9.5,,,2022,52.4,,,,,,
,MVC,31,13,103.6,106.1,0.4307,51.8,,19.5,17.2,28.5,29.8,31.3,31.9,49.7,50.5,36.9,34.5,68.0,-12.4,,,2022,51.0,,,,,,
,Sum,27,19,100.4,103.0,0.4277,52.3,,15.6,21.0,21.5,26.6,31.6,44.4,51.6,52.8,35.8,33.6,67.3,-7.3,,,2022,52.0,,,,,,
,SB,26,18,98.0,100.5,0.4257,49.3,,20.6,19.3,29.4,28.4,34.5,28.2,50.0,48.8,31.9,33.3,68.2,-5.9,,,2022,49.2,,,,,,
,MVC,28,11,98.6,101.6,0.4159,50.6,,19.2,15.8,17.3,22.5,26.4,26.2,52.8,50.1,32.0,36.1,69.5,-12.3,,,2022,51.7,,,,,,
,SB,29,20,97.3,100.2,0.4146,47.6,,22.1,20.3,31.6,27.6,34.9,34.5,47.1,47.9,32.3,33.1,67.1,-5.8,,,2022,48.5,,,,,,
,Slnd,29,21,99.6,102.7,0.4114,52.1,,17.3,19.7,29.6,30.6,21.6,36.3,54.5,47.2,32.1,33.3,69.8,-5.8,,,2022,48.3,,,,,,
,WCC,28,11,105.1,108.5,0.4105,51.9,,19.2,18.1,24.4,27.3,31.1,31.9,52.3,55.0,34.2,36.0,65.8,-9.4,,,2022,54.7,,,,,,
,MVC,30,14,102.1,105.4,0.4105,51.0,,16.5,16.5,20.3,24.8,26.9,22.6,52.1,51.6,32.9,35.6,65.2,-10.8,,,2022,52.3,,,,,,
,BW,22,13,97.4,100.7,0.4072,48.6,,17.9,19.2,26.2,28.9,29.4,36.9,48.7,45.4,32.3,33.9,67.3,-8.1,,,2022,47.3,,,,,,
,Horz,31,21,99.1,102.4,0.4066,53.1,,19.2,21.6,22.4,27.1,27.4,25.9,51.9,53.6,36.4,35.4,68.3,-7.4,,,2022,53.4,,,,,,
,MAAC,29,14,98.4,101.8,0.4042,49.3,,16.7,17.1,23.1,27.1,28.1,28.8,48.2,46.9,34.0,33.6,64.3,-10.5,,,2022,48.2,,,,,,
,MAAC,32,15,99.4,103.1,0.3986,49.3,,16.8,17.0,27.4,27.7,26.6,31.2,48.6,48.1,33.5,32.2,64.3,-12.7,,,2022,48.1,,,,,,
,Ivy,23,13,97.0,100.7,0.3956,49.6,,17.5,20.7,25.2,23.8,24.5,32.6,50.0,49.8,32.6,37.1,67.2,-9.5,,,2022,52.1,,,,,,
,BSth,29,17,101.3,105.1,0.3953,50.5,,18.2,19.0,26.6,33.0,37.1,27.4,50.1,52.9,34.1,29.0,66.5,-9.4,,,2022,49.9,,,,,,
,Sum,29,19,103.5,107.5,0.3922,52.0,,15.1,15.5,26.5,22.4,34.1,34.2,50.0,51.7,37.3,36.2,65.8,-7.6,,,2022,52.7,,,,,,
,P12,31,3,105.3,109.4,0.392,49.2,,18.2,17.5,26.2,34.0,27.6,29.1,49.8,55.8,31.9,35.9,66.7,-16.1,,,2022,55.0,,,,,,
,BSky,35,22,106.9,111.1,0.3892,56.2,,17.1,13.9,21.9,24.6,30.8,30.1,55.6,50.7,37.9,38.2,69.3,-9.0,,,2022,52.9,,,,,,
,CAA,27,15,102.2,106.3,0.3891,51.1,,17.7,20.6,25.9,31.5,30.6,27.5,50.9,55.7,34.2,33.7,69.0,-8.3,,,2022,53.3,,,,,,
,WAC,31,18,98.1,102.2,0.3866,49.9,,20.4,17.4,28.1,27.8,36.8,33.8,49.8,47.8,33.4,32.6,67.3,-9.1,,,2022,48.2,,,,,,
,Ivy,28,12,105.2,109.6,0.384,51.3,,17.0,15.3,25.4,28.0,24.1,28.8,52.0,52.1,33.5,34.7,67.9,-8.8,,,2022,52.1,,,,,,
,WCC,29,15,96.0,100.1,0.3822,46.7,,18.6,16.0,26.3,26.4,25.5,23.7,46.2,49.0,32.1,33.2,65.7,-7.8,,,2022,49.2,,,,,,
,A10,30,12,98.9,103.1,0.3816,48.9,,17.9,18.0,23.2,31.1,26.0,29.2,48.0,51.4,33.7,30.7,69.0,-10.9,,,2022,49.6,,,,,,
,MAAC,32,14,98.6,102.9,0.3798,45.6,,17.3,18.4,29.4,28.3,27.2,33.2,44.9,47.3,31.6,34.4,67.0,-13.4,,,2022,49.2,,,,,,
,Horz,29,14,105.7,110.4,0.3771,52.6,,17.9,19.0,27.9,29.7,22.8,30.5,50.1,55.4,36.9,35.3,64.9,-9.6,,,2022,54.4,,,,,,
,Ivy,24,9,96.3,100.7,0.3768,48.2,,17.4,19.0,23.6,26.6,24.5,28.4,46.6,50.5,33.4,34.2,64.7,-11.2,,,2022,50.8,,,,,,
,MAAC,30,14,99.2,103.8,0.3729,50.4,,18.2,16.7,26.4,27.1,25.0,28.5,49.7,47.1,34.4,33.4,66.3,-11.6,,,2022,48.3,,,,,,
,Ivy,27,13,98.8,103.6,0.3679,49.4,,19.1,19.5,28.2,28.1,31.6,33.2,50.6,51.3,31.7,33.9,67.5,-9.9,,,2022,51.1,,,,,,
,A10,30,11,97.8,102.6,0.3653,47.8,,19.0,16.7,29.0,27.4,25.1,31.0,47.6,47.8,32.0,35.9,67.5,-11.7,,,2022,50.0,,,,,,
,Pat,34,22,104.3,109.5,0.3646,51.9,,18.2,16.5,30.9,24.2,28.8,29.0,51.6,51.0,34.9,33.8,64.9,-8.3,,,2022,50.9,,,,,,
,OVC,30,14,104.0,109.2,0.364,51.6,,17.8,18.1,25.8,28.9,36.7,39.6,50.6,52.8,35.4,34.6,71.6,-12.4,,,2022,52.4,,,,,,
,BSth,29,14,98.8,103.8,0.3618,48.9,,19.5,17.7,27.4,30.2,33.9,35.3,49.4,52.1,32.0,30.1,66.4,-12.5,,,2022,49.5,,,,,,
,ASun,27,13,103.6,109.0,0.3578,51.8,,17.4,18.2,28.7,27.9,29.7,35.3,50.3,52.1,36.2,36.2,66.3,-12.0,,,2022,53.1,,,,,,
,CAA,31,9,97.0,102.1,0.3573,50.1,,21.2,15.7,26.3,23.7,30.6,25.6,51.6,51.9,32.0,34.3,64.6,-15.4,,,2022,51.7,,,,,,
,BSky,32,18,102.9,108.3,0.3566,52.9,,18.5,15.6,25.3,26.0,32.9,31.5,51.9,50.4,36.1,33.6,69.7,-9.8,,,2022,50.4,,,,,,
,SB,27,11,96.2,101.5,0.3499,45.7,,20.3,20.3,30.5,31.7,29.7,32.3,45.3,46.8,31.0,35.5,65.4,-11.0,,,2022,49.4,,,,,,
,SWAC,29,17,94.1,99.4,0.3488,49.2,,20.4,25.2,27.5,31.1,33.6,45.7,47.5,52.9,35.0,28.4,70.3,-8.7,,,2022,49.2,,,,,,
,CUSA,31,12,100.3,105.9,0.3477,49.4,,18.1,17.8,27.3,28.1,24.3,28.3,52.1,51.6,30.1,35.3,72.4,-14.1,,,2022,52.0,,,,,,
,AE,30,18,104.0,109.9,0.3451,50.3,,15.5,17.4,27.4,29.7,27.7,23.8,49.9,54.1,34.0,33.6,68.2,-8.0,,,2022,52.6,,,,,,
,Amer,31,8,90.9,96.1,0.3449,41.3,,19.1,18.9,29.8,27.0,25.4,33.6,42.8,46.6,25.2,33.8,65.0,-12.9,,,2022,48.3,,,,,,
,MAAC,30,14,101.9,107.8,0.3444,50.0,,18.7,17.2,28.6,28.6,27.0,27.2,49.2,47.6,34.0,37.1,68.9,-12.3,,,2022,50.6,,,,,,
,AE,31,18,103.6,109.5,0.3441,52.6,,16.2,16.6,21.9,28.8,31.1,19.7,48.9,52.7,38.3,35.2,68.3,-9.4,,,2022,52.8,,,,,,
,MAAC,29,15,97.8,103.6,0.339,48.7,,18.4,17.3,24.5,28.5,28.9,29.2,46.3,48.7,35.6,33.3,66.3,-9.3,,,2022,49.1,,,,,,
,AE,26,15,102.6,108.7,0.3382,50.9,,14.8,14.0,27.9,21.9,25.4,26.6,48.1,49.8,36.6,34.2,61.9,-9.3,,,2022,50.4,,,,,,
,CUSA,31,16,103.9,110.2,0.3371,52.9,,18.4,14.3,26.1,28.2,31.2,21.1,51.9,51.6,36.2,32.9,67.6,-9.6,,,2022,50.8,,,,,,
,NEC,29,16,98.9,105.0,0.3367,48.4,,18.5,18.2,30.6,29.7,30.4,29.7,49.6,48.8,31.0,32.0,72.5,-8.6,,,2022,48.5,,,,,,
,Horz,32,19,103.1,109.4,0.3366,51.0,,17.3,17.1,29.8,28.3,30.4,30.3,50.8,50.7,34.1,34.3,66.6,-10.4,,,2022,51.0,,,,,,
,SC,28,13,100.8,107.1,0.3324,52.0,,17.1,13.8,23.7,29.4,29.9,26.3,51.7,50.9,34.8,33.1,70.4,-11.7,,,2022,50.4,,,,,,
,BSky,29,18,99.9,106.3,0.3282,50.2,,15.7,19.1,18.1,26.8,38.5,42.8,49.9,49.9,33.9,37.5,65.3,-9.9,,,2022,51.8,,,,,,
,MEAC,26,16,99.3,105.7,0.3259,50.4,,20.7,23.5,28.0,34.5,36.2,33.9,47.8,48.6,36.2,34.0,70.4,-9.5,,,2022,49.4,,,,,,
,MAC,30,14,101.2,108.1,0.3207,51.3,,19.5,17.1,26.8,28.3,38.1,32.8,49.8,50.8,35.7,36.3,70.0,-12.2,,,2022,52.4,,,,,,
,SB,26,13,95.9,102.4,0.3203,47.8,,21.1,18.9,27.7,31.0,31.6,35.5,50.1,47.3,29.2,33.0,66.0,-11.1,,,2022,48.2,,,,,,
,OVC,30,11,100.5,107.3,0.32,49.2,,18.9,18.1,30.9,30.5,24.0,24.0,49.2,53.4,32.9,32.4,69.1,-14.2,,,2022,51.5,,,,,,
,CAA,30,10,98.8,105.6,0.3188,49.0,,19.9,16.6,25.4,28.8,25.9,43.8,48.6,49.9,33.0,34.5,66.0,-13.5,,,2022,50.6,,,,,,
,ASun,30,14,101.6,108.7,0.3152,52.3,,19.0,14.1,22.7,28.0,33.9,22.7,53.2,48.1,34.0,37.5,69.3,-12.4,,,2022,51.5,,,,,,
,NEC,29,14,95.4,102.2,0.3132,48.6,,20.1,18.9,31.0,29.1,26.3,26.2,47.6,47.4,33.9,33.9,63.5,-11.2,,,2022,48.6,,,,,,
,MAC,29,14,103.7,111.1,0.3113,50.3,,15.0,18.0,26.0,30.2,23.7,30.4,49.5,52.5,34.3,36.7,67.5,-13.2,,,2022,53.5,,,,,,
,Sum,30,16,99.3,106.4,0.3109,49.6,,15.9,17.3,28.8,22.7,29.4,31.4,49.8,51.3,33.0,37.4,70.5,-10.2,,,2022,52.9,,,,,,
,BSky,29,14,95.7,102.8,0.3058,47.1,,17.0,23.4,26.1,31.8,31.6,39.4,48.4,51.2,29.7,36.7,70.6,-12.8,,,2022,52.7,,,,,,
,ASun,27,13,100.8,108.3,0.3055,48.4,,15.6,22.3,28.7,31.8,21.7,28.1,46.0,56.6,33.9,34.4,71.0,-13.7,,,2022,54.6,,,,,,
,OVC,30,14,98.0,105.3,0.3032,49.0,,19.8,19.7,29.7,28.6,30.4,39.2,47.6,49.8,34.6,33.7,67.4,-13.5,,,2022,50.1,,,,,,
,WCC,31,7,97.8,105.2,0.3022,47.5,,20.4,18.0,26.3,31.0,23.9,31.5,45.6,54.6,34.1,32.9,70.2,-15.3,,,2022,52.7,,,,,,
